,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,6.4,--,Jürgen Böttcher,Jürgen BöttcherKlaus Poche,"DDR film from the mid-60s: Li and Al, not long married, want to divorce. They feel trapped in their marriage and in their one-room apartment. They long for an unconventional, meaningful life, but the search for meaning confounds them.",1h 40m,Jahrgang 45
1,6.4,--,Egon Günther,Egon GüntherHelga Schütz,"Adam receives a flashlight with special powers: every liar it shines on flies into the air. Production was canceled in 1965 due to the film's political content. Only in 1989-1990 could the director reconstruct the film, replacing missing sounds and images with script inserts.",1h 18m,"Wenn du groß bist, lieber Adam"
2,6.4,--,Zdenek Tyc,Jaromir KacerJirí SoukupZdenek Tyc,,1h 20m,"Vojtech, receny sirotek"
3,4.9,--,Arch Oboler,Arch Oboler,A young college student and a former G.I. on his way home from a tour in Viet Nam meet in Japan and decide to explore the country together.,1h 31m,Domo Arigato
4,5.9,--,Lindsay Shonteff,Len Deighton,"A British spy is framed, so he must evade the KGB, the CIA and the British Intelligence to reach the the heart of the conspiracy in Arctic.",1h 43m,Spy Story
5,6.2,53%,Michael Rubbo,Michael Rubbo,Jo meets a mysterious art dealer who buys some of her drawings and commissions her to make more. She asks some friends for help and sets off to Amsterdam to look for the mysterious man.,1h 40m,Vincent and Me
6,6.7,--,Férid Boughedir,Férid BoughedirNouri BouzidTaoufik Jebali,"Noura struggles to reconcile two worlds, Muslim women and men, while also dealing with his own sexuality.",1h 38m,Halfaouine: Boy of the Terraces
7,5.5,--,Fernando Durán Rojas,Jorge Barragán,"A hobo (Julio Alemán) is given the power to know what will happen in the future, but only for 24 hours.",1h 38m,La hora 24
8,6.0,--,Cheh Chang,Cheh Chang,The friendship between a thief turned Chinese opera performer and an incorruptible police officer.,1h 55m,Slaughter in Xian
9,5.7,--,Roger DuchownyJoel Silberg,Mike Grady,A beautiful young soap opera star is stalked and terrorized by an obsessive admirer.,1h 34m,Object of Desire
10,4.3,--,Tom Clegg,Iain RoyChris Kelly,A veteran reporter is investigating the disappearance of a photo-journalist who was covering a civil war in Africa. The only clue is a roll of film he left behind. The reporter soon realizes he may have bitten more than he can chew.,1h 48m,Any Man's Death
